ar-SA,ar
de-DE,de
es-ES,es
en-US,en
fr-FR,fr
it-IT,it
ko-KR,ko
ms-MY,ms
nl-NL,nl
pt-BR,pt
ro-RO,ro
ru-RU,ru
sv-SE,sv
zh-CN,zh
bg-BG,bg
ca-ES,ca
cs-CZ,cs
da-DK,da
el-GR,el
et-EE,et
fi-FI,fi
he-IL,he
hi-IN,hi
hr-HR,hr
hu-HU,hu
id-ID,id
ja-JP,ja
kk-KZ,kk
lt-LT,lt
lv-LV,lv
nb-NO,no
no-NO,no
pl-PL,pl
sr-Latn-RS,sh
sk-SK,sk
sl-SI,sl
th-TH,th
tr-TR,tr
uk-UA,uk
vi-VN,vi
zh-TW,zf
es-CO,es
es-AR,es
es-MX,es
pt-PT,pt
fr-CA,fr
fr-BE,fr
fr-CH,fr
nl-BE,nl
mn-MN,mn
sr-Cyrl-RS,sr
en-GB,en
zh-HK,zf
my-MM,my
sw-KE,sw
te-IN,te
cy-GB,cy
sq-AL,sq
bs-Latn-BA,bs
ta-IN,ta
mk-MK,mk
kn-IN,kn
ar-EG,ar
mr-IN,mr
